annotator_name,experience_level,video_id,frame_number,timestamp,joint_name,x_pixel,y_pixel,x_meter,y_meter,skipped,not_visible,session_start,notes
Nipul,novice,video,0,00:00:00.000,Head,608.0228571428572,851.3828571428572,1.32184,1.85091,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Left Shoulder,697.9885714285715,939.1542857142857,1.51743,2.04172,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Right Shoulder,526.8342857142858,941.3485714285715,1.14534,2.04649,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Left Elbow,708.96,1075.2,1.54128,2.33748,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Right Elbow,511.4742857142857,1083.977142857143,1.11195,2.35657,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Left Wrist,728.7085714285714,1191.497142857143,1.58421,2.59031,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Right Wrist,509.28000000000003,1200.2742857142857,1.10717,2.6094,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Left Knee,662.88,1187.1085714285714,1.4411,2.58077,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Right Knee,575.1085714285715,1356.0685714285714,1.25029,2.94809,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Left Ankle,658.4914285714286,1367.04,1.43156,2.97194,False,False,2026-04-13T15:12:05,
Nipul,novice,video,0,00:00:00.000,Right Ankle,577.3028571428572,1527.2228571428573,1.25506,3.32018,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Head,629.9657142857143,853.5771428571429,1.36955,1.85568,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Left Shoulder,726.5142857142857,945.7371428571429,1.57944,2.05603,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Right Shoulder,550.9714285714286,952.32,1.19781,2.07034,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Left Elbow,744.0685714285714,1101.5314285714287,1.61761,2.39473,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Right Elbow,537.8057142857143,1079.5885714285714,1.16919,2.34703,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Left Wrist,746.2628571428572,1206.857142857143,1.62238,2.62371,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Right Wrist,524.64,1187.1085714285714,1.14057,2.58077,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Left Knee,691.4057142857143,1384.594285714286,1.50312,3.01011,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Right Knee,575.1085714285715,1270.4914285714287,1.25029,2.76205,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Left Ankle,689.2114285714287,1525.0285714285715,1.49835,3.31541,False,False,2026-04-13T15:12:05,
Nipul,novice,video,30,00:00:00.500,Right Ankle,590.4685714285714,1399.9542857142858,1.28368,3.0435,False,False,2026-04-13T15:12:05,
