annotator_name,experience_level,video_id,frame_number,timestamp,joint_name,x_pixel,y_pixel,x_meter,y_meter,skipped,not_visible,session_start,notes
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Head,609.8605670935577,855.7913412067694,1.32584,1.86049,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Left Shoulder,697.1862204403496,948.9386980728123,1.51568,2.06299,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Right Shoulder,534.1783341930047,951.8495529748761,1.1613,2.06932,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Left Elbow,714.6513511097081,1088.6597333718767,1.55365,2.36675,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Right Elbow,502.1589279658476,1085.7488784698128,1.09169,2.36042,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Left Wrist,720.4730613328276,1187.6288000420473,1.56631,2.58191,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Right Wrist,505.06978307740735,1196.3613647482389,1.09802,2.60089,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Left Knee,653.5233937669537,1184.7179451399834,1.42076,2.57558,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Right Knee,577.8411608664006,1359.369239263814,1.25623,2.95527,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Left Ankle,673.8993795478718,1353.5475294596863,1.46506,2.94261,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,0,00:00:00.000,Right Ankle,580.7520159779604,1504.911984367006,1.26255,3.27168,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,30,00:00:00.500,Head,627.3256977629161,849.9696314026417,1.36381,1.84783,False,False,2026-04-09T16:54:09,
Moushika Kriyanjalee,novice,video,30,00:00:00.500,Left Shoulder,723.3839164443873,946.0278431707485,1.57264,2.05666,False,False,2026-04-09T16:54:09,
